created_date,funny,wow,sad,likes,disagree,toxicity,severe_toxicity,obscene,sexual_explicit,identity_attack,insult,threat,male,female,transgender,other_gender,heterosexual,homosexual_gay_or_lesbian,bisexual,other_sexual_orientation,christian,jewish,muslim,hindu,buddhist,atheist,other_religion,black,white,asian,latino,other_race_or_ethnicity,physical_disability,intellectual_or_learning_disabil,psychiatric_or_mental_illness,other_disability,identity_annotator_count,toxicity_annotator_count,clean
2016-04-22 14:59:32.066848+00,0,0,0,0,0,0.955223881,0.119402985,0.447761194,0.089552239,0.029850746,0.910447761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,please stop being a dick youve made your point you dont like weed
2016-04-25 03:24:59.933269+00,0,0,0,4,0,0.810344828,0.017241379,0.155172414,0,0.034482759,0.775862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,a lot of scum in this state
2016-04-28 21:45:01.817745+00,0,0,0,0,0,0.6,0,0.2,0.5,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,sitting on your behind wondering what to do next is worse
2016-04-29 20:36:23.897833+00,0,0,0,1,0,0.525,0.0125,0.0625,0,0,0.4875,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,why would anyone look for people who threw you away like a piece of trash
2016-04-30 01:06:35.658570+00,0,0,0,6,0,0.9,0,0.2,0,0.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,10,or maybe he was just being black
2016-05-03 06:39:46.895480+00,0,0,0,0,0,0.728571429,0.042857143,0.514285714,0.642857143,0,0.128571429,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,id rather eat my own arse
2016-05-04 16:30:47.630540+00,0,0,0,0,0,0.7,0.025,0.3375,0.2,0.0125,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,burgess may ultimately be correct legally but that doesnt make him less of an ass
2016-05-07 00:25:12.156095+00,0,0,0,0,0,0.728571429,0.028571429,0.228571429,0,0.085714286,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,got proof of the racist stuff besides some left wing idiotic web site devoted to people like you
2016-05-07 20:44:42.588103+00,0,0,0,2,0,0.833333333,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,bullet to the head end of story
2016-05-10 21:19:18.800565+00,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,surprise surprise ridiculous
2016-05-13 21:31:56.477693+00,0,0,0,0,0,0.765625,0.015625,0,0,0.015625,0.765625,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,what useless people
2016-05-14 18:58:46.224273+00,0,0,0,1,0,0.833333333,0,0.166666667,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,oh right ridiculous
2016-05-15 20:30:39.932243+00,0,0,0,1,0,0.8,0,0.1,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,and thats how i treat your nonsense
2016-05-16 20:25:40.331824+00,0,0,0,3,0,0.779661017,0,0.203389831,0.016949153,0.016949153,0.779661017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,an unusually large wretched hive of scum and villainy
2016-05-16 23:18:53.100809+00,0,0,0,0,0,0.814814815,0.018518519,0,0,0.759259259,0.759259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,5,54,those two are the sort who give white trash a bad name
2016-05-17 13:34:48.106427+00,0,0,0,6,0,0.8,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,there is only one word for this disgusting
2016-05-18 23:45:56.885833+00,0,0,0,3,0,0.686567164,0.029850746,0.014925373,0,0,0.701492537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,you are the troll here get over yourself
2016-05-20 18:58:27.667480+00,0,0,0,1,0,0.8,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,we cant even take care of our own it would be profoundly stupid to import more and exacerbate the problem
2016-05-21 18:11:02.481390+00,0,0,0,1,0,0.578125,0.03125,0.09375,0.265625,0.015625,0.5,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,you have your head up your butt so far that bump on your throat is your nose
2016-05-21 22:55:55.804800+00,0,0,0,0,0,0.716666667,0.033333333,0.083333333,0.033333333,0.016666667,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,i wouldnt want this laughing jackass in my city
2016-05-22 05:55:11.834633+00,0,0,0,7,0,0.684210526,0.026315789,0.039473684,0,0,0.710526316,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,most of us are sick of your inane scribbling
2016-05-24 01:24:34.448973+00,0,0,0,0,0,0.590163934,0.016393443,0.049180328,0,0.573770492,0.147540984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,61,dang thats good commentary coming from a black man
2016-05-24 09:54:25.662338+00,0,0,0,0,0,0.712121212,0.03030303,0.106060606,0,0,0.409090909,0.287878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,let him rot
2016-05-26 21:11:50.478595+00,0,0,0,0,0,0.8,0.014285714,0.171428571,0,0,0.742857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,whats the point of fishing if you are going to release the fish thats stupid
2016-05-27 06:02:14.253470+00,0,0,0,7,0,0.720588235,0.014705882,0.014705882,0,0.014705882,0.705882353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,10,68,this man is definitely mad
2016-05-28 04:30:57.674889+00,0,0,0,0,0,0.7,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,everybody that loss there home should be aloud to take turns punching them in the face
2016-05-28 14:33:38.007258+00,0,0,0,2,0,0.909090909,0.060606061,0.378787879,0.909090909,0,0.136363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,66,then show me the vagina
2016-05-30 12:48:36.557368+00,0,0,0,0,0,0.984577922,0.162337662,0.848214286,0.748376623,0.004058442,0.847402597,0.00487013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,ugly ass eyesore
2016-06-02 22:34:04.643107+00,0,0,0,0,0,0.966116421,0.294526499,0.019113814,0,0.008688097,0.043440487,0.960903562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,find them and kill them
2016-06-03 02:00:02.391674+00,0,0,0,3,0,0.6,0,0.4,0,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,now this is how the congress house speaker becomes a political prostitute overnight and he came very cheap
2016-06-03 05:12:04.645346+00,0,0,0,1,0,0.905660377,0.037735849,0.169811321,0,0.018867925,0.867924528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,just how stupid are these people
2016-06-05 17:21:00.607275+00,0,0,0,0,0,0.828947368,0.092105263,0.092105263,0,0,0.789473684,0.381578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,how long is the red guard going to run this piece of trash
2016-06-05 18:28:07.492859+00,0,0,0,0,0,0.862745098,0,0.137254902,0,0.019607843,0.843137255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,51,its not a choice if one was born there you idiot
2016-06-06 04:16:37.985392+00,0,0,0,0,0,0.891891892,0.121621622,0.094594595,0,0.054054054,0.851351351,0.675675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,human trash flush him
2016-06-06 13:28:09.499203+00,0,0,0,0,0,0.9,0,0.9,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,liberty be damned
2016-06-07 17:27:29.634265+00,0,0,0,0,0,0.838709677,0.016129032,0.258064516,0,0.016129032,0.806451613,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,yeah just like you you moron
2016-06-07 22:08:38.458267+00,0,0,0,1,0,0.816326531,0,0,0,0.020408163,0.795918367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,trump is totally insane and cannot live in reality
2016-06-08 15:10:46.610816+00,0,0,0,0,0,0.934210526,0.065789474,0.763157895,0.710526316,0.039473684,0.394736842,0.013157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,the first rule of every bureaucracy cover thy ass first
2016-06-10 05:25:47.250763+00,0,0,0,0,0,0.791666667,0,0.041666667,0,0,0.75,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,but she is a liar and a cheat
2016-06-11 17:23:49.518566+00,0,0,0,0,0,0.676470588,0.029411765,0.014705882,0,0,0.705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,i suggest you keep your ignorant comment to yourself
2016-06-13 06:58:02.084713+00,0,0,0,7,0,0.546666667,0.066666667,0.066666667,0.4,0.026666667,0.4,0.026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,i see my son is a rapist until told otherwise
2016-06-13 09:35:42.629098+00,0,0,0,1,0,0.848484848,0.060606061,0.015151515,0,0.803030303,0.772727273,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,66,somebody needs to do something about these crazy white folk
2016-06-13 12:48:54.745545+00,0,0,0,6,0,0.710526316,0.026315789,0.039473684,0.197368421,0,0.671052632,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,if aggression and violence are part of your sexual response your a broken and sick individual go seek help
2016-06-13 23:56:51.815039+00,0,0,0,0,0,0.625,0,0,0,0.125,0.546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,you are racist
2016-06-14 15:03:38.158334+00,0,0,0,4,0,0.6,0.1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,my analysis a crazy man with a gun
2016-06-15 18:25:23.089761+00,0,0,0,1,0,0.9,0.1,0.6,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,dont be a sanders sore loser
2016-06-17 00:45:40.290775+00,0,0,0,7,0,0.712121212,0.106060606,0.015151515,0,0.015151515,0.075757576,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,kill the rail
2016-06-17 19:23:39.567108+00,0,0,0,0,0,0.839285714,0.142857143,0.053571429,0.017857143,0.035714286,0.107142857,0.821428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,it should die wed all be better off
2016-06-18 16:51:40.538669+00,0,0,0,7,0,0.75,0.05,0,0,0.033333333,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,10,60,trump is mentally unstable
2016-06-18 18:06:43.156557+00,0,0,0,0,0,0.90625,0.09375,0.375,0.28125,0.015625,0.828125,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,your a ass
2016-06-19 00:58:38.953794+00,0,0,0,0,0,0.9,0.1,0,0,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,religion is both a disability and a crutch
2016-06-19 01:10:18.943928+00,0,0,0,3,0,0.690140845,0,0.084507042,0,0,0.647887324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,71,what is this garbage why did you publish it
2016-06-19 14:55:46.282623+00,0,0,0,6,0,0.833333333,0,0.166666667,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,yep spineless and despicable
2016-06-20 03:57:03.512092+00,0,0,0,0,0,0.75,0.013888889,0.069444444,0,0,0.708333333,0.152777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,shooting for dumb comment of the month
2016-06-20 17:20:15.621177+00,0,0,0,2,0,0.513513514,0,0.054054054,0,0,0.445945946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,to restore this old log cabin is absolutely ridiculous
2016-06-21 06:49:57.747161+00,0,0,0,15,0,0.703125,0,0.015625,0,0.015625,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,i wrote him and said quite the opposite as well what a liar and a shill
2016-06-22 16:52:22.438731+00,0,0,0,1,0,0.7125,0.0625,0,0,0.1,0.125,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,id like to meet this culture and punch it in the face
2016-06-22 18:05:48.327245+00,0,0,0,1,0,0.614285714,0.014285714,0.457142857,0.4,0,0.442857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,and you wonder why some people call you dick
2016-06-24 03:41:38.112901+00,0,0,0,0,0,0.833333333,0,0.166666667,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,dont be silly of course not but they have their own police force do they not
2016-06-28 22:55:17.670983+00,0,0,0,0,0,1,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,this fool is still writing
2016-06-29 01:48:19.274483+00,0,0,0,8,0,0.5875,0.075,0.4,0.3375,0,0.45,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,get a life will you dick
2016-07-02 22:12:24.213646+00,0,0,0,1,0,0.944740346,0.118508655,0.000665779,0,0.001331558,0.020639148,0.932756325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,let them shoot each other
2016-07-05 06:42:52.584081+00,0,0,0,7,0,0.8,0,0.1,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,doesnt work anywhere its a dumb sentiment with no basis in reality
2016-07-07 22:56:53.871535+00,0,0,0,1,0,0.8125,0.020833333,0.020833333,0.020833333,0.020833333,0.8125,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,you are very very very dumb
2016-07-08 09:46:19.609423+00,0,0,0,2,0,0.905660377,0.037735849,0.132075472,0,0,0.905660377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,your an idiot
2016-07-11 01:27:58.027289+00,0,0,0,0,0,0.636363636,0.045454545,0.136363636,0,0,0.636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,another inane expectorant devoid of any intelligence or sense
2016-07-12 02:11:38.368983+00,0,0,0,0,0,0.883333333,0.133333333,0.333333333,0.216666667,0.033333333,0.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,this guy is a dick
2016-07-12 02:39:26.305928+00,0,0,0,3,0,0.6,0.1,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,and if you dont have the money to move then hurry up and die
2016-07-13 05:12:53.541917+00,0,0,0,2,0,0.8,0,0.7,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,if nobody is hurt push it off the damn road and send them a bill
2016-07-15 03:31:15.417940+00,0,0,0,0,0,0.660377358,0.018867925,0,0,0,0.679245283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,that is a sick comment you should be ashamed of that
2016-07-15 20:15:09.532804+00,0,0,0,4,0,0.847826087,0.02173913,0.02173913,0,0.02173913,0.826086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,dont worry judge you just proved you are the fool
2016-07-17 14:25:55.727151+00,0,0,0,0,0,0.84057971,0.173913043,0,0,0.014492754,0.014492754,0.855072464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,shoot the messenger
2016-07-17 18:41:02.909143+00,0,0,0,5,0,0.7,0.1,0,0,0.5,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,10,how is the president encouraging police to shoot and kill black who are unarmed
2016-07-17 18:47:30.553376+00,0,0,0,0,0,0.8,0,0,0,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.166666667,0,0,0,6,10,blind allegiance you have black
2016-07-19 00:18:54.747809+00,0,0,0,0,0,0.525,0.025,0.025,0,0.075,0.4875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,people are the worst
2016-07-19 13:14:04.955226+00,0,0,0,0,0,0.857142857,0.085714286,0.757142857,0.471428571,0,0.642857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,what a dick
2016-07-20 15:08:44.975343+00,0,0,0,0,0,0.80952381,0.047619048,0.063492063,0,0,0.841269841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,they are more animal than the goat disgusting
2016-07-22 10:01:23.810269+00,0,0,0,12,0,0.65625,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,trump is a fraud
2016-07-23 00:24:55.745033+00,0,0,0,1,0,0.75,0.015625,0,0,0,0.71875,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,you are shameful
2016-07-23 17:48:18.375432+00,0,0,0,0,0,0.928571429,0.1,0.8,0,0,0.542857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,70,none of your damn business
2016-07-24 20:42:32.841885+00,0,0,0,1,0,0.8,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,yeah loser is right
2016-07-25 19:14:26.741215+00,0,0,0,3,0,0.7,0.1,0.1,0.7,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,sometimes its gang rape
2016-07-26 22:51:27.028185+00,0,0,0,0,0,0.8,0.145454545,0.036363636,0,0,0.127272727,0.709090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,i hope they die in jail
2016-07-29 17:44:38.441726+00,0,0,0,3,0,0.6,0.071428571,0,0.014285714,0.542857143,0.3,0.271428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,10,70,death is the new black
2016-08-02 03:05:56.112531+00,0,0,0,11,0,0.807017544,0.01754386,0.157894737,0,0,0.789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,you are an example of what i think of when i hear the word imbecile
